timestamp,sensor_id,intersection,vehicle_count,avg_speed,lane_occupancy,network_latency,day_of_week,is_attack,attack_type,label
2025-06-10 14:41:00,S004,Kumaraswamy_Layout_Bus_Stand,25,41.0,0.192,16.4,1,False,,0
2025-07-14 01:10:00,S002,50_Feet_Road_North,1,41.0,0.008,84.9,0,False,,0
2025-06-25 00:14:00,S002,50_Feet_Road_North,1,36.1,0.008,486.5,2,False,,0
2025-08-03 00:12:00,S003,50_Feet_Road_South,0,41.0,0.0,335.8,6,False,,0
2025-07-09 11:28:00,S002,50_Feet_Road_North,26,36.65,0.2,36.8,2,False,,0
2025-08-13 21:14:00,S002,50_Feet_Road_North,21,41.0,0.162,20.0,2,False,,0
2025-07-27 06:35:00,S003,50_Feet_Road_South,8,41.0,0.062,26.3,6,False,,0
2025-08-24 17:41:00,S001,DSCE_Main_Gate,35,34.99,0.269,429.0,6,False,,0
2025-08-10 11:40:00,S001,DSCE_Main_Gate,16,33.12,0.123,15.4,6,False,,0
2025-08-28 10:09:00,S003,50_Feet_Road_South,30,41.0,0.231,374.5,3,False,,0
2025-07-07 07:41:00,S002,50_Feet_Road_North,39,35.14,0.3,36.6,0,False,,0
2025-08-25 11:32:00,S003,50_Feet_Road_South,28,36.84,0.215,319.8,0,False,,0
2025-08-08 05:32:00,S002,50_Feet_Road_North,4,41.0,0.031,83.4,4,False,,0
2025-08-20 20:58:00,S003,50_Feet_Road_South,27,40.5,0.208,104.8,2,False,,0
2025-06-24 21:38:00,S003,50_Feet_Road_South,21,41.0,0.162,317.7,1,False,,0
2025-06-14 21:22:00,S004,Kumaraswamy_Layout_Bus_Stand,14,41.0,0.108,186.1,5,False,,0
2025-07-02 14:51:00,S001,DSCE_Main_Gate,27,41.0,0.208,156.0,2,False,,0
2025-09-05 03:49:00,S003,50_Feet_Road_South,1,37.85,0.008,69.8,4,False,,0
2025-07-28 22:17:00,S004,Kumaraswamy_Layout_Bus_Stand,14,41.0,0.108,275.8,0,False,,0
2025-08-06 02:37:00,S002,50_Feet_Road_North,1,41.0,0.008,144.8,2,False,,0
2025-08-17 17:29:00,S004,Kumaraswamy_Layout_Bus_Stand,33,38.72,0.254,318.9,6,False,,0
2025-07-10 13:08:00,S003,50_Feet_Road_South,27,37.33,0.208,246.8,3,False,,0
2025-07-29 02:26:00,S001,DSCE_Main_Gate,1,41.0,0.008,178.2,1,False,,0
2025-06-16 09:53:00,S001,DSCE_Main_Gate,55,31.64,0.423,299.1,0,False,,0
2025-08-05 13:31:00,S001,DSCE_Main_Gate,24,41.0,0.185,418.5,1,False,,0
2025-06-27 06:36:00,S004,Kumaraswamy_Layout_Bus_Stand,13,41.0,0.1,491.5,4,False,,0
2025-06-21 22:50:00,S001,DSCE_Main_Gate,10,41.0,0.077,390.0,5,False,,0
2025-06-13 02:00:00,S003,50_Feet_Road_South,0,39.93,0.0,473.0,4,False,,0
2025-07-13 15:21:00,S001,DSCE_Main_Gate,13,39.37,0.1,74.6,6,False,,0
2025-06-13 08:17:00,S001,DSCE_Main_Gate,88,17.84,0.677,464.1,4,False,,0
2025-07-19 20:11:00,S004,Kumaraswamy_Layout_Bus_Stand,15,41.0,0.115,43.1,5,False,,0
2025-09-04 21:45:00,S002,50_Feet_Road_North,17,41.0,0.131,314.0,3,False,,0
2025-09-05 12:59:00,S001,DSCE_Main_Gate,27,35.9,0.208,314.5,4,False,,0
2025-07-23 13:33:00,S004,Kumaraswamy_Layout_Bus_Stand,29,33.73,0.223,260.5,2,False,,0
2025-08-11 01:00:00,S003,50_Feet_Road_South,1,38.52,0.008,467.7,0,False,,0
2025-08-18 05:41:00,S003,50_Feet_Road_South,4,41.0,0.031,174.2,0,False,,0
2025-08-01 07:05:00,S001,DSCE_Main_Gate,33,38.5,0.254,161.6,4,False,,0
2025-06-27 05:06:00,S004,Kumaraswamy_Layout_Bus_Stand,5,41.0,0.038,433.9,4,False,,0
2025-07-12 19:44:00,S001,DSCE_Main_Gate,15,33.9,0.115,239.3,5,False,,0
2025-07-26 10:03:00,S001,DSCE_Main_Gate,17,34.55,0.131,61.0,5,False,,0
2025-06-26 14:57:00,S004,Kumaraswamy_Layout_Bus_Stand,20,38.36,0.154,177.8,3,False,,0
2025-06-27 12:49:00,S002,50_Feet_Road_North,35,35.86,0.269,474.6,4,False,,0
2025-08-14 13:26:00,S002,50_Feet_Road_North,27,34.6,0.208,494.5,3,False,,0
2025-06-19 05:49:00,S003,50_Feet_Road_South,4,41.0,0.031,243.5,3,False,,0
2025-06-26 03:22:00,S002,50_Feet_Road_North,1,35.09,0.008,318.3,3,False,,0
2025-08-25 05:07:00,S002,50_Feet_Road_North,4,41.0,0.031,93.3,0,False,,0
2025-06-19 04:32:00,S004,Kumaraswamy_Layout_Bus_Stand,1,41.0,0.008,405.5,3,False,,0
